Date,Visitor,Visitor Score,Home Team,Home Score,Line
12/21/2013,Colorado State,48,Washington State,45,4.0
12/21/2013,Southern Cal,45,Fresno State,20,-4.5
12/21/2013,Buffalo,24,San Diego State,49,0.0
12/21/2013,UL-Lafayette,24,Tulane,21,2.5
12/23/2013,Ohio,20,East Carolina,37,14.0
12/24/2013,Oregon State,38,Boise State,23,-3.0
12/26/2013,Pittsburgh,30,Bowling Green,27,6.5
12/26/2013,Utah State,21,Northern Illinois,14,-2.5
12/27/2013,Marshall,31,Maryland,20,-2.5
12/27/2013,Syracuse,21,Minnesota,17,3.5
12/27/2013,Washington,31,Brigham Young,16,-6.0
12/28/2013,Rutgers,16,Notre Dame,29,14.5
12/28/2013,Cincinnati,17,North Carolina,39,3.0
12/28/2013,Miami-Florida,9,Louisville,36,5.5
12/28/2013,Michigan,14,Kansas State,31,7.0
12/30/2013,Middle Tennessee,6,Navy,24,7.0
12/30/2013,Mississippi,25,Georgia Tech,17,-2.5
12/30/2013,Texas,7,Oregon,30,14.0
12/30/2013,Texas Tech,37,Arizona State,23,15.0
12/31/2013,Boston College,19,Arizona,42,7.0
12/31/2013,Virginia Tech,12,U.C.L.A.,42,7.5
12/31/2013,Mississippi State,44,Rice,7,-7.5
12/31/2013,Duke,48,Texas A+M,52,13.0
01/01/2014,Nebraska,24,Georgia,19,9.5
01/01/2014,Nevada-Las Vegas,14,North Texas,36,5.5
01/01/2014,Wisconsin,24,South Carolina,34,0.0
01/01/2014,Iowa,14,Louisiana State,21,7.5
01/01/2014,Michigan State,24,Stanford,20,7.5
01/01/2014,U-C-F,52,Baylor,42,17.0
01/02/2014,Oklahoma,45,Alabama,31,16.5
01/03/2014,Oklahoma State,31,Missouri,41,-2.5
01/03/2014,Clemson,40,Ohio State,35,3.0
01/04/2014,Houston,24,Vanderbilt,41,2.0
01/05/2014,Arkansas State,23,Ball State,20,6.5
01/06/2014,Auburn,31,Florida State,34,10.5
